"TimeCreated","Level","Message","Data"
"5/09/2024 1:38:22 PM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.503.0) - Current Channel (Broad)"
"5/09/2024 1:38:22 PM","Information","Windows Update successfully found 1 updates.",""
"5/09/2024 1:38:12 PM","Information","Windows Update successfully found 1 updates.",""
"5/09/2024 8:06:49 AM","Information","An update was downloaded.","9MV0B5HZVK9Z-Microsoft.GamingApp"
"5/09/2024 8:05:12 AM","Information","An update was downloaded.","9NTXGKQ8P7N0-MicrosoftWindows.CrossDevice"
"5/09/2024 8:05:03 AM","Information","An update was downloaded.","9P973WW0Q58D-Microsoft.Ink.Handwriting.en-AU.1.0"
"5/09/2024 8:05:03 AM","Information","Windows Update successfully found 3 updates.",""
"5/09/2024 8:04:50 AM","Information","An update was downloaded.","9P973WW0Q58D-Microsoft.Ink.Handwriting.en-AU.1.0"
"5/09/2024 8:04:44 AM","Information","Windows Update successfully found 3 updates.",""
"5/09/2024 7:46:00 AM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.502.0) - Current Channel (Broad)"
"5/09/2024 7:45:10 AM","Information","Windows Update successfully found 1 updates.",""
"5/09/2024 7:45:10 AM","Information","Windows Update successfully found 1 updates.",""
"4/09/2024 7:40:38 PM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.483.0) - Current Channel (Broad)"
"4/09/2024 7:40:37 PM","Information","Windows Update successfully found 1 updates.",""
"4/09/2024 7:40:31 PM","Information","Windows Update successfully found 1 updates.",""
"4/09/2024 8:24:15 AM","Information","An update was downloaded.","9MSMLRH6LZF3-Microsoft.WindowsNotepad"
"4/09/2024 8:24:04 AM","Information","An update was downloaded.","9NZKPSTSNW4P-Microsoft.XboxGamingOverlay"
"4/09/2024 8:23:40 AM","Information","An update was downloaded.","9P973WW0Q58D-Microsoft.Ink.Handwriting.en-AU.1.0"
"4/09/2024 8:23:34 AM","Information","Windows Update successfully found 3 updates.",""
"4/09/2024 7:31:22 AM","Information","Windows Update successfully found 1 updates.",""
"4/09/2024 7:31:13 AM","Information","Windows Update successfully found 0 updates.",""
"4/09/2024 7:26:28 AM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.474.0) - Current Channel (Broad)"
"4/09/2024 7:26:28 AM","Information","Windows Update successfully found 0 updates.",""
"4/09/2024 7:26:28 AM","Information","Windows Update successfully found 1 updates.",""
"3/09/2024 8:59:19 PM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.464.0) - Current Channel (Broad)"
"3/09/2024 8:59:16 PM","Information","Windows Update successfully found 0 updates.",""
"3/09/2024 8:59:16 PM","Information","Windows Update successfully found 1 updates.",""
"3/09/2024 3:02:36 PM","Information","Windows Update successfully found 0 updates.",""
"3/09/2024 3:02:36 PM","Information","Windows Update successfully found 0 updates.",""
"3/09/2024 2:41:20 PM","Information","An update was downloaded.","9NT52VQ39BVN-Microsoft.LanguageExperiencePacken-GB"
"3/09/2024 2:40:55 PM","Information","An update was downloaded.","9MZNG5HZWZ1T-AppUp.IntelOptaneMemoryandStorageManagement"
"3/09/2024 2:40:46 PM","Information","An update was downloaded.","9WZDNCRFHVFW-Microsoft.BingNews"
"3/09/2024 2:40:46 PM","Information","An update was downloaded.","9WZDNCRFJ364-MICROSOFT.SKYPEAPP"
"3/09/2024 2:40:38 PM","Information","An update was downloaded.","9P086NHDNB9W-Microsoft.XboxSpeechtoTextOverlay"
"3/09/2024 2:40:38 PM","Information","An update was downloaded.","9WZDNCRFJBD8-Microsoft.XboxApp"
"3/09/2024 2:40:24 PM","Information","An update was downloaded.","9NBLGGH3FRZM-Microsoft.VCLibs.140.00"
"3/09/2024 2:40:17 PM","Information","An update was downloaded.","9NBLGGH3FRZM-Microsoft.VCLibs.140.00"
"3/09/2024 2:40:12 PM","Information","An update was downloaded.","9NBLGGH3FRZM-Microsoft.VCLibs.140.00"
"3/09/2024 2:40:12 PM","Information","An update was downloaded.","9NBLGGH537C2-Microsoft.XboxGameOverlay"
"3/09/2024 2:22:00 PM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.460.0) - Current Channel (Broad)"
"3/09/2024 2:22:00 PM","Information","Windows Update successfully found 0 updates.",""
"3/09/2024 2:22:00 PM","Information","Windows Update successfully found 1 updates.",""
"3/09/2024 2:21:33 PM","Information","An update was downloaded.","9NG1H8B3ZC7M-Microsoft.MixedReality.Portal"
"3/09/2024 2:21:20 PM","Information","An update was downloaded.","9NBLGGH3FRZM-Microsoft.VCLibs.140.00"
"3/09/2024 2:21:11 PM","Information","Windows Update successfully found 63 updates.",""
"3/09/2024 2:21:05 PM","Information","Windows Update successfully found 64 updates.",""
"3/09/2024 2:21:00 PM","Information","Windows Update successfully found 2 updates.",""
"3/09/2024 2:20:52 PM","Information","Windows Update successfully found 10 updates.",""
"3/09/2024 11:02:51 AM","Information","Windows Update successfully found 1 updates.",""
"3/09/2024 11:02:46 AM","Information","Windows Update successfully found 0 updates.",""
"3/09/2024 10:27:00 AM","Information","Windows Update successfully found 1 updates.",""
"3/09/2024 10:26:51 AM","Information","Windows Update successfully found 0 updates.",""
"3/09/2024 9:35:18 AM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.457.0) - Current Channel (Broad)"
"3/09/2024 9:35:18 AM","Information","Windows Update successfully found 1 updates.",""
"3/09/2024 9:35:12 AM","Information","Windows Update successfully found 1 updates.",""
"2/09/2024 9:16:57 PM","Information","An update was downloaded.","9PLDPG46G47Z-Microsoft.XboxInsider"
"2/09/2024 9:16:53 PM","Information","An update was downloaded.","9NT52VQ39BVN-Microsoft.LanguageExperiencePacken-GB"
"2/09/2024 9:15:50 PM","Information","An update was downloaded.","Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.417.445.0) - Current Channel (Broad)"
"2/09/2024 9:15:47 PM","Information","Windows Update successfully found 1 updates.",""
"2/09/2024 9:15:47 PM","Information","Windows Update successfully found 1 updates.",""
"2/09/2024 9:15:31 PM","Information","An update was downloaded.","9P973WW0Q58D-Microsoft.Ink.Handwriting.en-AU.1.0"
"2/09/2024 9:15:25 PM","Information","Windows Update successfully found 3 updates.",""
